run_id,livello,tbt,host,address,esg,cluster
run1-tbt-15s/nazionale,nazionale,15,c3,1VCJ6Rs96dU42SWb4DKQhkbKrsWk3tVQttroWW,92.76,m2
run1-tbt-15s/nazionale,nazionale,15,c4,12yyEfvNgL31dZBBgys5SGTLZJP9Z83G1ejqjj,70.53,m2
run1-tbt-15s/nazionale,nazionale,15,c5,17SfcQCbjFcmL6cHPtoKWfroGQmqFYDvMcAe4h,76.32,m3
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,m1
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,m2
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,m3
run1-tbt-15s/regionale,regionale,15,c1,1QeD1MiyZASH93EjBcPYpb1VbdP8VK68jesBxL,77.16,m1
run1-tbt-15s/regionale,regionale,15,c2,1Cw3SU7CSR9jNxKrsJvkRJxb1mCgAxQNkG5YD4,99.26,m1
run1-tbt-15s/regionale,regionale,15,c3,1QQoTiHA5ooKPefGXGPqnbp9s87fVqMgMKBchQ,92.76,m2
run1-tbt-15s/regionale,regionale,15,c4,1Rt6yAwfP85GtvRLtVND1tX55evgB2m5FDvFRw,70.53,m2
run1-tbt-15s/regionale,regionale,15,c5,12CAY81XqqGQ53QXsY3oR9oxw3YiaPjrKkdby9,76.32,m3
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,26.46,m1
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,24.17,m2
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,17.5,m3
run2-tbt-10s/continentale,continentale,10,c1,17hkibG1jwCnYcoHqegVXJYK56Qp9MuiibepCQ,17.5,m1
run2-tbt-10s/continentale,continentale,10,c2,1LAyr99FkAc6rNx8EPyfMJnfdyq1yRZvLnzsaV,77.16,m1
run2-tbt-10s/continentale,continentale,10,c3,1Sx4KDRxVxbKGMMAtLjERQ8XUJJmcCaR7XGoKW,99.26,m2
run2-tbt-10s/continentale,continentale,10,c4,1a9oy7P2bVVwFWV6oZe2Xf33UNnvLQVQc8yERj,92.76,m2
run2-tbt-10s/continentale,continentale,10,c5,1XD1hpXTN6rBVW9uQD8sue46yKsy7BcPUxfApz,70.53,m3
run2-tbt-10s/continentale,continentale,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,85.56,m1
run2-tbt-10s/continentale,continentale,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,26.46,m2
run2-tbt-10s/continentale,continentale,10,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,24.17,m3
run2-tbt-10s/intercontinentale,intercontinentale,10,c1,19tmz4FYx6edh324hq22R7cbnZPZwPsSoFgkUu,17.5,m1
run2-tbt-10s/intercontinentale,intercontinentale,10,c2,1NKfxpBVQ6Dwj42rabdPqSsTtiJPeXSLgSkZR5,77.16,m1
run2-tbt-10s/intercontinentale,intercontinentale,10,c3,1UVoePQHSbTtPqNpKfAzFf22zUiV3RVT1NyYzU,99.26,m2
run2-tbt-10s/intercontinentale,intercontinentale,10,c4,14Z543WVJLihcUGSe1gDjPviSg2SGY2R4ypgoj,92.76,m2
run2-tbt-10s/intercontinentale,intercontinentale,10,c5,1CyZ6VYS93ZAFmXbPhQK61zNeinNVbWCzNybqU,70.53,m3
run2-tbt-10s/intercontinentale,intercontinentale,10,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,85.56,m1
run2-tbt-10s/intercontinentale,intercontinentale,10,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,26.46,m2
run2-tbt-10s/intercontinentale,intercontinentale,10,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,24.17,m3
run2-tbt-10s/nazionale,nazionale,10,c1,15fYhE3iZ4bpB7ugDAYGojPMeX2Spatt4cYUa3,17.5,m1
run2-tbt-10s/nazionale,nazionale,10,c2,17qTRawo67UbxQwDkqqHxGDpdvyfvfQdxpNybm,77.16,m1
run2-tbt-10s/nazionale,nazionale,10,c3,19CJJciQqbHBXRfwnZNpmfyWwq2CS5ExqyeWti,99.26,m2
run2-tbt-10s/nazionale,nazionale,10,c4,1ZGQepCG9n73v7nznTU4z3FWSu2Y5ZaTSRPy6v,92.76,m2
run2-tbt-10s/nazionale,nazionale,10,c5,1Sr73nub1pmsBWR9zQQ4Swj6AKw4syyoYts52e,70.53,m3
run2-tbt-10s/nazionale,nazionale,10,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,85.56,m1
run2-tbt-10s/nazionale,nazionale,10,m2,19kvdJGdyLyMu8NcGpqistnByR71TSqfptkRQe,26.46,m2
run2-tbt-10s/nazionale,nazionale,10,m3,1PZ3gzLZ6RaKq1ZtUUs5657xvQwtwxQH2tMqJa,24.17,m3
run2-tbt-10s/regionale,regionale,10,c1,1C53cY45GLP1jCtGZ3jjRxK41xDpogMscxLoET,17.5,m1
run2-tbt-10s/regionale,regionale,10,c2,1KwDQh1YXp8Gjcm5PUTzw4oojyETr76SR6K5g4,77.16,m1
run2-tbt-10s/regionale,regionale,10,c3,1akYxtSrcSsAR7FUMwZr2RAjBZeS9pefqhTGii,99.26,m2
run2-tbt-10s/regionale,regionale,10,c4,1RNinnWHk18yFwNrDviXwK4oyJtZRTHU6YR4MW,92.76,m2
run2-tbt-10s/regionale,regionale,10,c5,1HW1Y78Q8DyPU8YKdN6gzrGyAC2HS8qt346Gcd,70.53,m3
run2-tbt-10s/regionale,regionale,10,m1,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,85.56,m1
run2-tbt-10s/regionale,regionale,10,m2,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,26.46,m2
run2-tbt-10s/regionale,regionale,10,m3,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,24.17,m3
run3-tbt-5s/continentale,continentale,5,c1,1SSC2XrW9PNniKVfAx3JCNZpVNFW1DAQfiFm4j,17.5,m1
run3-tbt-5s/continentale,continentale,5,c2,1bgdBC45cJoHQt1vDh2YdLX2naj9s5n42n8Q5,77.16,m1
run3-tbt-5s/continentale,continentale,5,c3,1GMNEQPW8JDLYbPsyfnKhv4RKdRhpiGNa3P9Zo,99.26,m2
run3-tbt-5s/continentale,continentale,5,c4,18pe3itSBY7SpsRAvT1vdKtLA2jcrWRfPTNLku,92.76,m2
run3-tbt-5s/continentale,continentale,5,c5,1ZPKsqPFkrpVzhBzVbQPBbTxSQqwDgsWSSaFew,70.53,m3
run3-tbt-5s/continentale,continentale,5,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,85.56,m1
run3-tbt-5s/continentale,continentale,5,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,26.46,m2
run3-tbt-5s/continentale,continentale,5,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,24.17,m3
run3-tbt-5s/intercontinentale,intercontinentale,5,c1,1ESxJuPreq5n4ajdCVe721fC6537dAAjkNv6JT,17.5,m1
run3-tbt-5s/intercontinentale,intercontinentale,5,c2,1HeU7vw9ZRKhJuJP3bGUDf7WC1thiW7MqxU5gL,77.16,m1
run3-tbt-5s/intercontinentale,intercontinentale,5,c3,1Atoq5b2CCV9JgRDWGbGbZE6tad9Ygdbkamw7L,99.26,m2
run3-tbt-5s/intercontinentale,intercontinentale,5,c4,1b7ke8bvGbq9gQxvE3o7PyUM6SQwo6a4xa8Kym,92.76,m2
run3-tbt-5s/intercontinentale,intercontinentale,5,c5,1DAhaHzyUhToVmbabUa4yPFCVCfvdsUZiEM56M,70.53,m3
run3-tbt-5s/intercontinentale,intercontinentale,5,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,85.56,m1
run3-tbt-5s/intercontinentale,intercontinentale,5,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,26.46,m2
run3-tbt-5s/intercontinentale,intercontinentale,5,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,24.17,m3
run3-tbt-5s/nazionale,nazionale,5,c1,1X2L9fkqq9LAbwPDz1SqCJiNrmxKdikgue6yYZ,17.5,m1
run3-tbt-5s/nazionale,nazionale,5,c2,1UxnAi2fFtTDq4ueXQFEL4zi8MwtVHREpjHc6h,77.16,m1
run3-tbt-5s/nazionale,nazionale,5,c3,1ZeK9j4KbGp26TqiEj712Uy3dDSxEvoCgHx2pJ,99.26,m2
run3-tbt-5s/nazionale,nazionale,5,c4,1KJxpGjjCx4L4ui7yXDrVyjxijxMShNRXcS3XB,92.76,m2
run3-tbt-5s/nazionale,nazionale,5,c5,17V2VF5b1CmigfPVqujRoCWaiNfGZHdigz6HU7,70.53,m3
run3-tbt-5s/nazionale,nazionale,5,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,85.56,m1
run3-tbt-5s/nazionale,nazionale,5,m2,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,26.46,m2
run3-tbt-5s/nazionale,nazionale,5,m3,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,24.17,m3
run3-tbt-5s/regionale,regionale,5,c1,1SQMyZsYBPsB6Z3JdtVvK5Z4nzaQ7kisunM2wk,17.5,m1
run3-tbt-5s/regionale,regionale,5,c2,1A4CrFTvpKkWiGKyfcWKP3P5Ds6KMtYA11iE14,77.16,m1
run3-tbt-5s/regionale,regionale,5,c3,1b1ZDAStzMbTZrRLLYn6FkR3gJu28HRKRSfWAa,99.26,m2
run3-tbt-5s/regionale,regionale,5,c4,1CyRAtgWZSyPLhC773ckjxce1q6dYoQKSyNrqt,92.76,m2
run3-tbt-5s/regionale,regionale,5,c5,1XZvMfDDwwKtNGuGmjcDCiMPgHW9iyKB5AV7kN,70.53,m3
run3-tbt-5s/regionale,regionale,5,m1,12zTjgCumTMomJBYYnuKAixmrhW7dXX12NKDwg,85.56,m1
run3-tbt-5s/regionale,regionale,5,m2,1B6r6YPpfhSzpSvUo39JkyfYERxVrLyDC1ai7u,26.46,m2
run3-tbt-5s/regionale,regionale,5,m3,1CL4LiiNpuWSxPGYkh8WN8g7EnEjU4EK3kDWCA,24.17,m3
run4-tbt-3s/continentale,continentale,3,c1,1JYF2q1Sf8dBzUVspdhkifPGzhj1rwA12i1hPV,17.5,m1
run4-tbt-3s/continentale,continentale,3,c2,1C7XjpQytFpcBVJyEs8Gf1TvTTZJgYsbySAgGE,77.16,m1
run4-tbt-3s/continentale,continentale,3,c3,1FzwgcL8WrrmniBZoBvAR6MEp5DRgxqCGyjyx8,99.26,m2
run4-tbt-3s/continentale,continentale,3,c4,1Cy3ajnDFY64KmZnhC5S4Nd1d59WrLjgpqjbiz,92.76,m2
run4-tbt-3s/continentale,continentale,3,c5,1HqvoZqwoGg5a7XkWWXUdSerMcrtk3RppCHmib,70.53,m3
run4-tbt-3s/continentale,continentale,3,m1,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,85.56,m1
run4-tbt-3s/continentale,continentale,3,m2,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,26.46,m2
run4-tbt-3s/continentale,continentale,3,m3,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,24.17,m3
run4-tbt-3s/intercontinentale,intercontinentale,3,c1,1MZ34BZBycanzV6MQpn4kGo3igKxDeCFHrm4ys,17.5,m1
run4-tbt-3s/intercontinentale,intercontinentale,3,c2,1LB6qUDEtPSL1cXPypZpfPq4jGZRpZVJ3UzARx,77.16,m1
run4-tbt-3s/intercontinentale,intercontinentale,3,c3,14pmjhAXKHStX1ymPpwvt7n9i412fia61DZFdB,99.26,m2
run4-tbt-3s/intercontinentale,intercontinentale,3,c4,1TFFyiBbp1YeJiDAG9heTHahno55ikaZcom68e,92.76,m2
run4-tbt-3s/intercontinentale,intercontinentale,3,c5,1Zf6vhjhrZjDD8A5EitQbbxXVqtZKz5YEQ5i7C,70.53,m3
run4-tbt-3s/intercontinentale,intercontinentale,3,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,85.56,m1
run4-tbt-3s/intercontinentale,intercontinentale,3,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,26.46,m2
run4-tbt-3s/intercontinentale,intercontinentale,3,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,24.17,m3
run4-tbt-3s/nazionale,nazionale,3,c1,1BcH8Y9BYTZ1h8V5EJMmu29g3F1Cpz8QDQ3z3E,17.5,m1
run4-tbt-3s/nazionale,nazionale,3,c2,14bxQXRV6SLyVcpEDK9CZu4fSG2bJt37eEJ8ep,77.16,m1
run4-tbt-3s/nazionale,nazionale,3,c3,1UgRUwEYvbGLKGifyd6iEiLqu4LMKjACEYfj4v,99.26,m2
run4-tbt-3s/nazionale,nazionale,3,c4,1Wn3ZhubfkcfqefJg2RhQ781sLSPMdg2wMjLKL,92.76,m2
run4-tbt-3s/nazionale,nazionale,3,c5,149xLWRgHiqgcszXwC6GDsrpvc8WsKbzGfDiPu,70.53,m3
run4-tbt-3s/nazionale,nazionale,3,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,85.56,m1
run4-tbt-3s/nazionale,nazionale,3,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,26.46,m2
run4-tbt-3s/nazionale,nazionale,3,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,24.17,m3
run4-tbt-3s/regionale,regionale,3,c1,14SymtvjoTZsyNvK9hmhZXPizVBCkbRqbkLBte,17.5,m1
run4-tbt-3s/regionale,regionale,3,c2,1NANoPBR8wpgcbQn9rF3rafBCqk3Ge8FZyUyFo,77.16,m1
run4-tbt-3s/regionale,regionale,3,c3,13HRhqN6skbEU5KGpLtLoZtwjN76WMQ1iMUaMB,99.26,m2
run4-tbt-3s/regionale,regionale,3,c4,1YdH7mJHbFr7JsSZFQrDKgWA2WQofB6BE4jWN6,92.76,m2
run4-tbt-3s/regionale,regionale,3,c5,1RXZQ2pkeED1MeS3kxqEnJDMNAhSdezJkkp58U,70.53,m3
run4-tbt-3s/regionale,regionale,3,m1,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,85.56,m1
run4-tbt-3s/regionale,regionale,3,m2,1ZizoV8be5qn4x2Uk4tmToQ9Usx1nqZaxZUHs,26.46,m2
run4-tbt-3s/regionale,regionale,3,m3,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,24.17,m3
run5-tbt-2s/continentale,continentale,2,c1,1F7CcdA7br3pXc2HaB2YVgbB9XpcVbNzQhEWKx,17.5,m1
run5-tbt-2s/continentale,continentale,2,c2,1YTNMyxofokiBQ3rq8h7jTXxWt2FAPxuRdZTtp,77.16,m1
run5-tbt-2s/continentale,continentale,2,c3,1RG2YWrbXGu1xVxqFQMN5ZG6B2FmRnYADiXkCh,99.26,m2
run5-tbt-2s/continentale,continentale,2,c4,1Qvk2bYgt1UFxC5BNrR54Jb9a9ywekBworktZ1,92.76,m2
run5-tbt-2s/continentale,continentale,2,c5,1R7uw5tCbpBLCzbmLC8spDHyWDESce4aZ5Crj5,70.53,m3
run5-tbt-2s/continentale,continentale,2,m1,1PsQyHWKH4xk2wTCB5JLwBYXPAAA9wdtm1u1pA,85.56,m1
run5-tbt-2s/continentale,continentale,2,m2,18GGauDrTeEJnuo5WxTDKBoNSryjXMhQvGRPjC,26.46,m2
run5-tbt-2s/continentale,continentale,2,m3,17T8kJfSiCizDdpFGYkHLao39XoWdGo3yaEjhJ,24.17,m3
run5-tbt-2s/intercontinentale,intercontinentale,2,c1,1aX4umCtKstiozYa4tVe1Rh9Aiqq9R5o1fVLcR,17.5,m1
run5-tbt-2s/intercontinentale,intercontinentale,2,c2,11tWJUTEFZMnnqPqtXVqvWntL2Z9Yc8TTXPcp,77.16,m1
run5-tbt-2s/intercontinentale,intercontinentale,2,c3,1VcizJ6rkG1itxGrpfDaZorcsMTcAUTf5j58ut,99.26,m2
run5-tbt-2s/intercontinentale,intercontinentale,2,c4,1MRWzyWJDtxVbPS9TH4DS7DRkYwScoxFtS6gZ5,92.76,m2
run5-tbt-2s/intercontinentale,intercontinentale,2,c5,1TTAcjy475TYbx7ZHNNnZKAPEUybttR3xS6jwt,70.53,m3
run5-tbt-2s/intercontinentale,intercontinentale,2,m1,1CMdrBmxo2wcbEWHTtRHXuKRi6pGt4zPLLdt25,85.56,m1
run5-tbt-2s/intercontinentale,intercontinentale,2,m2,1Hfp7q7MU1cqZ39ggatAxed6qU28DdMjLTSgcH,26.46,m2
run5-tbt-2s/intercontinentale,intercontinentale,2,m3,1HCscGy3u1Tw99kZsZNhREFhcEUCrPpbkBJBPv,24.17,m3
run5-tbt-2s/nazionale,nazionale,2,c1,16RTwvjtNu8oaPEx44dk78wbLYzWZCaTwHkKxd,17.5,m1
run5-tbt-2s/nazionale,nazionale,2,c2,1LffcfYRs8mVNfNV493VbkxS6mD9UAuc8gvhGz,77.16,m1
run5-tbt-2s/nazionale,nazionale,2,c3,1NxMuHRzQZoNq73HEYjXVA5qpYJV4MZDtF25sq,99.26,m2
run5-tbt-2s/nazionale,nazionale,2,c4,15MfkrDvfK6QQHJVoqzG9HgScKc8XrzWYXa7Sk,92.76,m2
run5-tbt-2s/nazionale,nazionale,2,c5,1aVSyFhFdvV1dbdL22neKvqvCFxQX4rx68z1NL,70.53,m3
run5-tbt-2s/nazionale,nazionale,2,m1,1WZPCjFVjDt2AkwLnqG5BfyoxCWtkqFRU8YSSF,85.56,m1
run5-tbt-2s/nazionale,nazionale,2,m2,1Qfy23H5N3KcwZ4CW25K68hY7T9BMNCYG9n3d8,26.46,m2
run5-tbt-2s/nazionale,nazionale,2,m3,1VTJbaQB66KoiL8iWQrPES7Ub7ZDzy3XFu8DwG,24.17,m3
run5-tbt-2s/regionale,regionale,2,c1,17GLGDAofhTLycusCU8fqaAK2xoyvZdp1DfuXs,17.5,m1
run5-tbt-2s/regionale,regionale,2,c2,1ZHFeR8BCHYKHGxW8BC8iN9Dd3ihFZEZ3GKjfd,77.16,m1
run5-tbt-2s/regionale,regionale,2,c3,1T3jCVULPS2vNVQF9wJrBoXKQ6G8eHxF37a6Pr,99.26,m2
run5-tbt-2s/regionale,regionale,2,c4,1Lpw4FLdnt8a8YCbVjgVHcqDVcGjbKEfngWKoX,92.76,m2
run5-tbt-2s/regionale,regionale,2,c5,1ERY6SvADvp4pscwK8av3gMUXwNUnYNGJhEccH,70.53,m3
run5-tbt-2s/regionale,regionale,2,m1,1akrbuSTPkRMU7ztM65jGiNHd5t7DPrqV7pB8G,85.56,m1
run5-tbt-2s/regionale,regionale,2,m2,1DvpzaEbFEQsS6kv3UE1Mkc1XM2xPTJsinfjUr,26.46,m2
run5-tbt-2s/regionale,regionale,2,m3,16qEPM3f15FH1SsM8yqz9HJ5nwpP3ba7whwkH4,24.17,m3
